Problem,Time,Cost,Num_expanded,Num_generated
49,0.36593,294.968,10865,9753
48,0.0306375,74.624,907,935
46,0.0848543,171.018,2472,2672
45,0.652467,438.63,19336,11386
44,0.171365,178.904,5004,5158
43,0.46239,299.834,13761,12242
42,0.141756,171.668,4160,4201
41,0.00326687,19.656,94,68
40,0.520601,287.324,15122,14302
39,0.0215702,54.694,614,583
38,0.0764205,113.006,2245,387
37,0.284319,178.114,8377,6801
36,0.200747,236.63,5901,6110
35,0.335407,246.61,9768,9618
34,0.29204,251.216,8554,8711
33,0.0280254,120.382,820,958
32,0.140317,261.592,4126,4299
31,0.438314,165.35,12919,8129
30,0.0430777,78.28,1261,1296
29,0.449239,223.642,13242,12710
28,0.0999247,88.898,2929,2294
27,0.052971,82.248,1555,272
26,0.0976249,161.458,2860,2923
25,0.173424,155.732,5099,5096
24,0.0799944,110.388,2379,2141
22,0.0449945,83.802,1329,1409
21,0.512238,233.572,15129,14276
20,0.136899,165.496,4074,3961
19,0.528867,330.088,15645,14726
18,0.00408163,104.414,108,320
17,0.0206748,50.694,618,662
16,0.186723,228.438,5561,5307
15,0.0177402,124.828,522,382
14,0.127643,175.866,3715,3694
13,0.476566,194.668,13935,10676
12,0.351216,201.114,10259,9017
10,0.047765,85.56,1414,274
9,0.00905583,36.694,259,309
8,0.160232,175.216,4732,4815
7,0.641013,254.528,18746,13529
6,0.335073,235.248,9880,9803
4,0.124067,112.668,3628,2623
3,0.460004,318.382,13496,13106
1,0.0250046,83.624,753,727
5,0.197675,213.018,5807,5635
11,0.0509327,100.012,1503,1651
23,0.0316348,82.7,941,917
47,0.307864,179.974,9080,8295
0,0.253154,195.942,7265,6711
