Problem,Time,Cost,Num_expanded,Num_generated
49,0.37066,294.968,10877,9753
48,0.0306885,74.624,906,935
46,0.0862428,171.018,2471,2672
45,0.654651,438.63,19347,11532
44,0.171482,178.904,4994,5153
43,0.464179,299.834,13747,12242
42,0.142239,171.668,4161,4201
41,0.00382013,19.656,94,68
40,0.515556,287.324,15027,14302
39,0.0204447,54.694,607,583
38,0.0762073,113.006,2246,379
37,0.287378,178.114,8483,6909
36,0.200789,236.63,5961,6145
35,0.330926,246.61,9768,9618
34,0.288637,251.216,8419,8710
33,0.0279287,120.382,819,958
32,0.141994,261.592,4255,4299
31,0.440956,165.35,12993,8184
30,0.0427091,78.28,1261,1295
29,0.453398,224.814,13335,12827
28,0.099608,88.898,2936,2304
27,0.054298,82.248,1551,272
26,0.0980368,161.458,2858,2923
25,0.173622,155.732,5099,5096
24,0.0810987,110.388,2377,2141
22,0.0456375,83.802,1324,1409
21,0.511092,233.572,15084,14276
20,0.137025,165.496,4070,3960
19,0.529091,330.088,15602,14726
18,0.00384558,104.414,108,320
17,0.0208197,50.694,618,662
16,0.188116,228.438,5563,5307
15,0.019168,124.828,557,382
14,0.126569,175.866,3767,3715
13,0.468248,194.668,13865,10676
12,0.362054,201.114,10277,9000
10,0.0477666,85.56,1414,274
9,0.00886721,36.694,259,309
8,0.161614,175.216,4735,4816
7,0.632239,254.528,18731,13534
6,0.33543,235.248,9845,9803
4,0.11383,112.082,3382,2417
3,0.465369,318.382,13495,13106
1,0.0252397,83.624,753,727
5,0.195865,213.018,5808,5635
11,0.0515656,100.012,1503,1651
23,0.0314967,82.7,937,917
47,0.311289,179.974,9051,8298
0,0.2635,195.942,7526,6990
