Problem,Time,Cost,Num_expanded,Num_generated
49,0.0293197,332.012,873,1405
48,0.00317175,79.796,91,257
46,0.00479517,172.776,138,532
45,0.309823,446.082,9175,9749
44,0.0277932,245.464,802,1334
43,0.0564348,334.05,1650,2211
42,0.00519354,171.668,146,542
41,0.000731833,19.656,18,68
40,0.0300396,339.884,864,1617
39,0.00310917,61.624,93,221
38,0.00640763,113.592,191,426
37,0.0501204,183.388,1439,1796
36,0.00772371,236.63,218,725
35,0.00707092,248.024,200,732
34,0.00833042,251.802,234,754
33,0.00405979,121.554,119,358
32,0.00941575,266.866,267,789
31,0.197938,167.006,5791,6182
30,0.003881,91.248,110,319
29,0.0210047,250.012,615,1127
28,0.036865,90.554,1079,1313
27,0.00248675,82.248,69,272
26,0.00481679,161.458,142,431
25,0.00881629,176.356,258,649
24,0.00743788,113.7,218,485
22,0.00244238,83.802,66,290
21,0.0264395,252.91,768,1298
20,0.004748,166.91,140,472
19,0.0423241,330.088,1241,1850
18,0.00363838,104.414,104,320
17,0.00145975,50.694,42,153
16,0.00630337,229.852,181,688
15,0.00437383,124.828,124,382
14,0.00570021,176.694,168,487
13,0.0725242,230.184,2137,2647
12,0.0557613,271.572,1609,2219
10,0.00244233,85.56,69,274
9,0.00108454,36.694,28,132
8,0.00549971,175.216,157,528
7,0.155914,269.114,4518,4936
6,0.0183161,272.942,529,1106
4,0.0396382,144.668,1123,1463
3,0.0142659,341.528,426,908
1,0.00275433,90.35,81,234
5,0.00725796,223.222,214,616
11,0.00288942,101.184,78,339
23,0.00227683,82.7,62,283
47,0.0230654,213.082,680,1122
0,0.0441106,239.496,1126,1640
