Problem,Time,Cost,Num_expanded,Num_generated
49,0.0682623,66.968,2037,1727
48,0.00703029,33.898,211,112
46,0.0101122,25.484,296,284
45,0.0326787,90.694,973,985
44,0.0227462,76.452,672,648
42,0.177232,112.452,5311,3460
41,0.0256758,65.28,725,809
40,0.0340222,65.592,979,1056
39,0.0804017,95.006,2395,2151
38,0.000572417,15,15,51
37,0.170433,113.42,4988,2992
36,0.00982558,41.07,287,133
35,0.012432,41.312,366,136
34,0.00184783,20.382,53,76
33,0.0202701,54.624,600,431
32,0.0167211,66.484,498,553
31,0.100953,89.764,2973,2935
30,0.00641896,27.796,188,100
29,0.00461108,35.07,136,113
28,0.00632396,27.382,188,207
27,0.0382239,99.35,1138,1054
26,0.0112444,35.21,334,380
25,0.0147687,50.796,419,152
24,0.055457,93.35,1660,1323
23,0.0266947,88.146,799,713
22,0.0615047,87.108,1831,1717
21,0.0209225,52.35,617,181
20,0.0510798,70.108,1498,1430
19,0.00947521,47.242,278,304
18,0.000540625,7.242,15,35
17,0.000326458,10.898,8,44
16,0.0529415,94.56,1560,1640
15,0.121802,121.286,3583,3625
14,0.0467435,97.178,1391,1353
13,0.00662871,44.656,194,269
12,0.0202053,55.14,592,173
11,0.047542,94.662,1416,1333
10,0.0322933,74.14,962,1008
9,0.0143051,40.624,423,461
8,0.169952,112.248,4999,3145
7,0.102889,120.592,3039,2538
6,0.12202,82.694,3569,2493
5,0.020021,64.968,588,196
4,0.0293787,70.49,864,942
3,0.0778564,97.834,2233,2133
2,0.0454059,93.866,1316,1404
1,0.00693688,33.656,182,92
47,0.104023,82.21,3050,2848
0,0.0152603,39.624,356,381
